user_genome	classification	closest_genome_reference	closest_genome_reference_radius	closest_genome_taxonomy	closest_genome_ani	closest_genome_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
WC5_bin.19.contigs	d__Bacteria;p__Bacillota;c__Bacilli;o__RFN20;f__CAG-288;g__Enterosoma;s__	N/A	N/A	N/A	N/A	N/A	GCA_963643715.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__RFN20;f__CAG-288;g__Enterosoma;s__Enterosoma sp963643715	94.37	0.888	d__Bacteria;p__Bacillota;c__Bacilli;o__RFN20;f__CAG-288;g__Enterosoma;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_963589675.1, s__Enterosoma sp963589675, 95.0, 87.69, 0.595; GCA_963654365.1, s__Enterosoma sp963654365, 95.0, 83.62, 0.428; GCA_963621825.1, s__Enterosoma sp963621825, 95.0, 83.08, 0.411; GCA_900763245.1, s__Enterosoma sp900763245, 95.0, 81.09, 0.159	87.51	11	0.9992	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
WC6_3.contigs	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Duodenibacillus;s__	N/A	N/A	N/A	N/A	N/A	GCA_963617005.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Duodenibacillus;s__Duodenibacillus sp963617005	94.88	0.797	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Duodenibacillus;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_963604755.1, s__Duodenibacillus sp963604755, 95.0, 93.25, 0.762; GCA_963656505.1, s__Duodenibacillus sp963656505, 95.0, 87.14, 0.602; GCA_963652725.1, s__Duodenibacillus sp963652725, 95.0, 86.86, 0.591; GCA_963590825.1, s__Duodenibacillus sp963590825, 95.0, 86.37, 0.553	79.21	11	0.99844	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
WC8_WC8.025.contigs	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp963586715	GCA_963586715.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp963586715	96.8	0.912	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_963661195.1, s__Prevotella sp963661195, 95.0, 91.99, 0.8; GCA_963644035.1, s__Prevotella sp963644035, 95.0, 88.16, 0.787	N/A	N/A	N/A	N/A
WC8_bin.32_sub.contigs	d__Bacteria;p__Bacillota;c__Bacilli;o__RFN20;f__CAG-826;g__Fiminaster;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota;c__Bacilli;o__RFN20;f__CAG-826;g__Fiminaster;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_963657885.1, s__Fiminaster sp963657885, 95.0, 82.46, 0.291; GCA_963612925.1, s__Fiminaster sp963612925, 95.0, 81.74, 0.287	74.68	11	0.98641	N/A
WC8_bin.83.contigs	d__Bacteria;p__Bacillota;c__Bacilli;o__RFN20;f__CAG-449;g__UBA3210;s__UBA3210 sp963610315	GCA_963610315.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__RFN20;f__CAG-449;g__UBA3210;s__UBA3210 sp963610315	95.05	0.876	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_963623095.1, s__UBA3210 sp963623095, 95.0, 86.09, 0.536; GCA_963648895.1, s__UBA3210 sp963648895, 95.0, 86.1, 0.391; GCA_963653535.1, s__UBA3210 sp963653535, 95.0, 91.29, 0.808	N/A	N/A	N/A	N/A
WC9_167.contigs	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Suilimivivens;s__	N/A	N/A	N/A	N/A	N/A	GCA_934408585.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Suilimivivens;s__Suilimivivens sp934408585	86.02	0.369	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Suilimivivens;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	86.36	11	0.99187	N/A
WC9_bin.117.contigs	d__Bacteria;p__Bacillota;c__Bacilli;o__RFN20;f__CAG-826;g__Onthovivens;s__	N/A	N/A	N/A	N/A	N/A	GCA_963619035.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__RFN20;f__CAG-826;g__Onthovivens;s__Onthovivens sp963619035	94.89	0.871	d__Bacteria;p__Bacillota;c__Bacilli;o__RFN20;f__CAG-826;g__Onthovivens;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_963661135.1, s__Onthovivens sp963661135, 95.0, 87.33, 0.653; GCA_963611005.1, s__Onthovivens sp963611005, 95.0, 84.31, 0.333	79.19	11	0.9989	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
WC9_bin.165.contigs	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Paratractidigestivibacter;s__	N/A	N/A	N/A	N/A	N/A	GCA_963630635.1	95.0	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Paratractidigestivibacter;s__Paratractidigestivibacter sp963630635	93.08	0.823	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Paratractidigestivibacter;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_963616835.1, s__Paratractidigestivibacter sp963616835, 95.0, 91.59, 0.693; GCA_963612765.1, s__Paratractidigestivibacter sp963612765, 95.0, 90.3, 0.556; GCA_963658035.1, s__Paratractidigestivibacter sp963658035, 95.0, 89.8, 0.659; GCA_963591565.1, s__Paratractidigestivibacter sp963591565, 95.0, 89.05, 0.621; GCA_963611755.1, s__Paratractidigestivibacter sp963611755, 95.0, 85.56, 0.368; GCA_963640745.1, s__Paratractidigestivibacter sp963640745, 95.0, 83.35, 0.151; GCA_905215465.1, s__Paratractidigestivibacter sp905215465, 95.0, 81.25, 0.153; GCA_030530145.1, s__Paratractidigestivibacter sp030530145, 95.0, 81.24, 0.162; GCF_003416765.1, s__Paratractidigestivibacter faecalis, 95.0, 80.93, 0.155	75.85	11	0.99783	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
WILDCHIMP_A01_WC1_S1__DASTool_bins.concoct.028	d__Bacteria;p__Bacillota;c__Bacilli;o__RFN20;f__CAG-826;g__UBA4951;s__	N/A	N/A	N/A	N/A	N/A	GCA_963643355.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__RFN20;f__CAG-826;g__UBA4951;s__UBA4951 sp963643355	93.45	0.855	d__Bacteria;p__Bacillota;c__Bacilli;o__RFN20;f__CAG-826;g__UBA4951;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_963654035.1, s__UBA4951 sp963654035, 95.0, 87.87, 0.522; GCA_963648925.1, s__UBA4951 sp963648925, 95.0, 82.38, 0.361; GCA_963641445.1, s__UBA4951 sp963641445, 95.0, 81.72, 0.308; GCA_963623195.1, s__UBA4951 sp963623195, 95.0, 80.3, 0.194; GCA_963638555.1, s__UBA4951 sp963638555, 95.0, 79.68, 0.156	91.94	11	0.99943	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
WILDCHIMP_A01_WC1_S1__DASTool_bins.concoct.031	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Anaerotardibacter;s__	N/A	N/A	N/A	N/A	N/A	GCA_963643405.1	95.0	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Anaerotardibacter;s__Anaerotardibacter sp963643405	89.81	0.739	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Anaerotardibacter;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_963612535.1, s__Anaerotardibacter sp963612535, 95.0, 89.67, 0.459; GCA_963595065.1, s__Anaerotardibacter sp963595065, 95.0, 89.24, 0.691; GCA_963598325.1, s__Anaerotardibacter sp963598325, 95.0, 88.91, 0.588; GCA_963635335.1, s__Anaerotardibacter sp963635335, 95.0, 88.81, 0.53; GCA_963607675.1, s__Anaerotardibacter sp963607675, 95.0, 87.62, 0.509; GCA_963626845.1, s__Anaerotardibacter sp963626845, 95.0, 87.26, 0.532; GCA_963588035.1, s__Anaerotardibacter sp963588035, 95.0, 86.63, 0.498	87.55	11	0.99702	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
WILDCHIMP_A01_WC1_S1__DASTool_bins.concoct.036_sub	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__	N/A	N/A	N/A	N/A	N/A	GCA_963659135.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp963659135	86.25	0.497	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	84.15	11	0.99728	N/A
WILDCHIMP_A01_WC1_S1__DASTool_bins.concoct.051	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-510;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-510;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_963639875.1, s__CAG-510 sp963639875, 95.0, 94.83, 0.829; GCA_002432425.1, s__CAG-510 sp002432425, 95.0, 94.51, 0.763; GCA_000434615.1, s__CAG-510 sp000434615, 95.0, 92.81, 0.721	89.73	11	0.99777	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
WILDCHIMP_A01_WC1_S1__DASTool_bins.concoct.059	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_004554775.1, s__Gemmiger variabilis_B, 95.0, 89.53, 0.625; GCA_963655125.1, s__Gemmiger sp963655125, 95.0, 89.17, 0.626; GCA_025758045.1, s__Gemmiger sp900539695, 95.0, 88.18, 0.512; GCA_963588145.1, s__Gemmiger sp963588145, 95.0, 87.72, 0.527; GCF_018784445.1, s__Gemmiger sp900540775, 95.0, 83.55, 0.201; GCF_900167555.1, s__Gemmiger formicilis, 95.0, 83.46, 0.19; GCA_025757985.1, s__Gemmiger sp900540595, 95.0, 83.02, 0.164; GCF_024462815.1, s__Gemmiger sp900554145, 95.0, 82.83, 0.166; GCA_934502625.1, s__Gemmiger sp934502625, 95.0, 82.62, 0.229; GCA_019115045.1, s__Gemmiger excrementipullorum, 95.0, 82.37, 0.175; GCF_934561205.1, s__Gemmiger sp934561205, 95.0, 82.37, 0.165; GCA_934529095.1, s__Gemmiger sp934529095, 95.18, 82.18, 0.185; GCA_944388175.1, s__Gemmiger sp944388175, 95.0, 81.79, 0.169; GCA_004552305.1, s__Gemmiger variabilis_A, 95.0, 81.43, 0.162	94.02	11	0.99669	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
WILDCHIMP_A01_WC1_S1__DASTool_bins.concoct.096	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__CAG-272;g__SIG710;s__	N/A	N/A	N/A	N/A	N/A	GCA_934385225.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__CAG-272;g__SIG710;s__SIG710 sp934385225	94.92	0.863	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__CAG-272;g__SIG710;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	96.25	11	0.99557	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
WILDCHIMP_A01_WC1_S1__DASTool_bins.concoct.121	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Alloprevotella;s__Alloprevotella sp963625935	GCA_963625935.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Alloprevotella;s__Alloprevotella sp963625935	96.4	0.93	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_963651485.1, s__Alloprevotella sp963651485, 95.0, 87.67, 0.665	N/A	N/A	N/A	N/A
WILDCHIMP_A01_WC1_S1__DASTool_bins.concoct.125	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__F23-B02;s__F23-B02 sp963613665	GCA_963613665.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__F23-B02;s__F23-B02 sp963613665	96.04	0.841	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_900545805.1, s__F23-B02 sp900545805, 95.0, 84.83, 0.457; GCA_963620985.1, s__F23-B02 sp963620985, 95.0, 88.98, 0.648; GCA_963608145.1, s__F23-B02 sp963608145, 95.0, 89.61, 0.634; GCA_004558025.1, s__F23-B02 sp004558025, 95.0, 85.21, 0.44; GCA_963625685.1, s__F23-B02 sp963625685, 95.0, 87.41, 0.587; GCA_963650165.1, s__F23-B02 sp963650165, 95.0, 90.06, 0.704; GCA_963633225.1, s__F23-B02 sp963633225, 95.0, 87.74, 0.591	N/A	N/A	N/A	N/A
WILDCHIMP_A01_WC1_S1__DASTool_bins.concoct.134	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Bifidobacteriaceae;g__Galliscardovia;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Bifidobacteriaceae;g__Galliscardovia;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	89.83	11	0.97315	N/A
WILDCHIMP_A01_WC1_S1__DASTool_bins.concoct.137	d__Bacteria;p__Bacillota;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__Lentihominibacter;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__Lentihominibacter;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	97.2	11	0.95098	N/A
WILDCHIMP_A01_WC1_S1__DASTool_bins.concoct.174	d__Bacteria;p__Bacillota;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__CAG-238;s__	N/A	N/A	N/A	N/A	N/A	GCA_963628105.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__CAG-238;s__CAG-238 sp963628105	94.25	0.677	d__Bacteria;p__Bacillota;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__CAG-238;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_963647945.1, s__CAG-238 sp963647945, 95.0, 89.0, 0.314; GCA_963635155.1, s__CAG-238 sp963635155, 95.0, 86.97, 0.361; GCA_963658905.1, s__CAG-238 sp963658905, 95.0, 84.17, 0.314; GCA_963601575.1, s__CAG-238 sp963601575, 95.0, 84.01, 0.375	95.12	11	0.99698	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
WILDCHIMP_A01_WC1_S1__DASTool_bins.maxbin2.030_sub	d__Bacteria;p__Bacillota;c__Bacilli;o__RFN20;f__CAG-826;g__Onthovivens;s__	N/A	N/A	N/A	N/A	N/A	GCA_963655445.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__RFN20;f__CAG-826;g__Onthovivens;s__Onthovivens sp963655445	88.81	0.677	d__Bacteria;p__Bacillota;c__Bacilli;o__RFN20;f__CAG-826;g__Onthovivens;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_963618895.1, s__Onthovivens sp963618895, 95.0, 87.59, 0.6; GCA_963626345.1, s__Onthovivens sp963626345, 95.0, 86.9, 0.612; GCA_963632335.1, s__Onthovivens sp963632335, 95.0, 85.91, 0.379; GCA_002451465.1, s__Onthovivens sp002451465, 95.0, 79.29, 0.161	78.87	11	0.99482	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
WILDCHIMP_A01_WC1_S1__DASTool_bins.metabat2.008_sub	d__Bacteria;p__Bacillota;c__Bacilli;o__RFN20;f__CAG-826;g__Onthovivens;s__Onthovivens sp963632375	GCA_963632375.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__RFN20;f__CAG-826;g__Onthovivens;s__Onthovivens sp963632375	95.24	0.688	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_963605025.1, s__Onthovivens sp963605025, 95.0, 83.81, 0.341; GCA_963653985.1, s__Onthovivens sp963653985, 95.0, 91.32, 0.64; GCA_963660725.1, s__Onthovivens sp963660725, 95.0, 91.47, 0.679	N/A	N/A	N/A	N/A
WILDCHIMP_A01_WC1_S1__DASTool_bins.metabat2.013	d__Bacteria;p__Bacillota;c__Bacilli;o__RFN20;f__CAG-826;g__Onthovivens;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota;c__Bacilli;o__RFN20;f__CAG-826;g__Onthovivens;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_963660725.1, s__Onthovivens sp963660725, 95.0, 80.77, 0.154; GCA_963605025.1, s__Onthovivens sp963605025, 95.0, 79.75, 0.175	86.22	11	0.96973	N/A
WILDCHIMP_A01_WC1_S1__DASTool_bins.metabat2.064	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Parolsenella;s__	N/A	N/A	N/A	N/A	N/A	GCA_963639715.1	95.0	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Parolsenella;s__Parolsenella sp963639715	88.7	0.497	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Parolsenella;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_963636635.1, s__Parolsenella sp963636635, 95.0, 89.14, 0.393; GCA_963653485.1, s__Parolsenella sp963653485, 95.0, 88.07, 0.408; GCA_963641675.1, s__Parolsenella sp963641675, 95.0, 86.37, 0.295; GCF_003966955.1, s__Parolsenella catena, 95.0, 83.79, 0.221; GCA_900543875.1, s__Parolsenella sp900543875, 95.0, 83.7, 0.217; GCF_900143685.1, s__Parolsenella massiliensis, 95.0, 83.69, 0.209; GCA_900544655.1, s__Parolsenella sp900544655, 95.0, 83.42, 0.156; GCA_934668375.1, s__Parolsenella sp934668375, 95.0, 83.37, 0.203; GCF_039062465.1, s__Parolsenella sp958406235, 95.0, 82.4, 0.159; GCA_900552935.1, s__Parolsenella sp900552935, 95.0, 82.32, 0.16; GCF_934660935.1, s__Parolsenella sp934660935, 95.16, 82.24, 0.172	80.76	11	0.9878	N/A
