user_genome	classification	closest_genome_reference	closest_genome_reference_radius	closest_genome_taxonomy	closest_genome_ani	closest_genome_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
WILDCHIMP_A04_WC25_S25__DASTool_bins.concoct.221	d__Bacteria;p__Bacillota;c__Clostridia;o__Christensenellales;f__Borkfalkiaceae;g__UBA10281;s__UBA10281 sp963650905	GCA_963650905.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Christensenellales;f__Borkfalkiaceae;g__UBA10281;s__UBA10281 sp963650905	98.19	0.869	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_022781715.1, s__UBA10281 sp022781715, 95.0, 88.7, 0.541; GCA_900548285.1, s__UBA10281 sp900548285, 95.0, 88.07, 0.487	N/A	N/A	N/A	N/A
WILDCHIMP_A04_WC25_S25__DASTool_bins.concoct.246	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp963658165	GCA_963658165.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp963658165	98.81	0.834	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_963654295.1, s__Prevotella sp963654295, 95.0, 85.35, 0.522	N/A	N/A	N/A	N/A
WILDCHIMP_A04_WC25_S25__DASTool_bins.concoct.252	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_004554775.1, s__Gemmiger variabilis_B, 95.0, 89.2, 0.633; GCA_963655125.1, s__Gemmiger sp963655125, 95.0, 88.17, 0.621; GCA_963588145.1, s__Gemmiger sp963588145, 95.0, 87.88, 0.505; GCA_025758045.1, s__Gemmiger sp900539695, 95.0, 87.47, 0.514; GCF_018784445.1, s__Gemmiger sp900540775, 95.0, 82.96, 0.215; GCF_900167555.1, s__Gemmiger formicilis, 95.0, 82.58, 0.211; GCA_934529095.1, s__Gemmiger sp934529095, 95.18, 82.35, 0.21; GCA_019115045.1, s__Gemmiger excrementipullorum, 95.0, 82.27, 0.193; GCA_025757985.1, s__Gemmiger sp900540595, 95.0, 81.82, 0.183; GCF_024462815.1, s__Gemmiger sp900554145, 95.0, 81.77, 0.204; GCF_934561205.1, s__Gemmiger sp934561205, 95.0, 81.45, 0.188; GCA_934502625.1, s__Gemmiger sp934502625, 95.0, 81.42, 0.229; GCA_004552305.1, s__Gemmiger variabilis_A, 95.0, 81.18, 0.165; GCA_944388175.1, s__Gemmiger sp944388175, 95.0, 80.08, 0.179	94.78	11	0.99689	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
WILDCHIMP_A04_WC25_S25__DASTool_bins.concoct.254	d__Bacteria;p__Bacillota;c__Negativicutes;o__Veillonellales;f__Dialisteraceae;g__UBA1822;s__	N/A	N/A	N/A	N/A	N/A	GCA_963634795.1	95.0	d__Bacteria;p__Bacillota;c__Negativicutes;o__Veillonellales;f__Dialisteraceae;g__UBA1822;s__UBA1822 sp963634795	94.79	0.682	d__Bacteria;p__Bacillota;c__Negativicutes;o__Veillonellales;f__Dialisteraceae;g__UBA1822;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_963619995.1, s__UBA1822 sp963619995, 95.0, 87.16, 0.38; GCA_963615055.1, s__UBA1822 sp963615055, 95.0, 85.8, 0.323	94.32	11	0.99776	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
WILDCHIMP_A04_WC25_S25__DASTool_bins.concoct.268	d__Bacteria;p__Bacillota;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__CAKQOE01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__CAKQOE01;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_963632005.1, s__CAKQOE01 sp963632005, 95.0, 82.53, 0.212; GCA_963627215.1, s__CAKQOE01 sp963627215, 95.0, 82.4, 0.246; GCA_934255545.1, s__CAKQOE01 sp934255545, 95.0, 81.32, 0.182	94.38	11	0.98614	N/A
WILDCHIMP_A04_WC25_S25__DASTool_bins.concoct.270	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__CAG-272;g__CAG-841;s__CAG-841 sp963614875	GCA_963614875.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__CAG-272;g__CAG-841;s__CAG-841 sp963614875	99.05	0.935	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_963656825.1, s__CAG-841 sp963656825, 95.0, 93.32, 0.849; GCA_000437375.1, s__CAG-841 sp000437375, 95.0, 89.24, 0.732	N/A	N/A	N/A	N/A
WILDCHIMP_A04_WC25_S25__DASTool_bins.concoct.308	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Fimenecus;s__Fimenecus sp963624605	GCA_963624605.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Fimenecus;s__Fimenecus sp963624605	95.89	0.862	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_934436505.1, s__Fimenecus sp934436505, 95.0, 84.94, 0.475; GCA_963590415.1, s__Fimenecus sp963590415, 95.0, 93.75, 0.834; GCA_902491475.1, s__Fimenecus sp902491475, 95.0, 92.55, 0.773	N/A	N/A	N/A	N/A
WILDCHIMP_A04_WC25_S25__DASTool_bins.concoct.328_sub	d__Bacteria;p__Bacillota;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__UMGS973;s__	N/A	N/A	N/A	N/A	N/A	GCA_900547295.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__UMGS973;s__UMGS973 sp900547295	93.08	0.659	d__Bacteria;p__Bacillota;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__UMGS973;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_934256595.1, s__UMGS973 sp934256595, 95.0, 90.93, 0.662; GCA_963609975.1, s__UMGS973 sp963609975, 95.0, 87.19, 0.519; GCA_963648745.1, s__UMGS973 sp963648745, 95.0, 87.19, 0.49; GCA_963590215.1, s__UMGS973 sp963590215, 95.0, 83.46, 0.233	97.48	11	0.99579	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
WILDCHIMP_A04_WC25_S25__DASTool_bins.concoct.336	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Limisoma;s__Limisoma sp963590405	GCA_963590405.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Limisoma;s__Limisoma sp963590405	97.92	0.929	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_963590085.1, s__Limisoma sp963590085, 95.0, 87.68, 0.501; GCA_963615935.1, s__Limisoma sp963615935, 95.0, 86.52, 0.548; GCA_963601185.1, s__Limisoma sp963601185, 95.0, 85.58, 0.552	N/A	N/A	N/A	N/A
WILDCHIMP_A04_WC25_S25__DASTool_bins.concoct.337_sub	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_963622815.1, s__Blautia_A sp963622815, 95.0, 89.78, 0.61; GCA_963597235.1, s__Blautia_A sp963597235, 95.0, 87.79, 0.496; GCF_018918125.1, s__Blautia_A sp018918125, 95.0, 84.75, 0.358; GCF_934424005.1, s__Blautia_A sp934424005, 95.25, 84.42, 0.371; GCF_025147765.1, s__Blautia_A obeum, 95.0, 84.38, 0.354; GCA_934378195.1, s__Blautia_A sp934378195, 95.0, 84.31, 0.386; GCF_934372025.1, s__Blautia_A sp934372025, 95.0, 82.86, 0.263; GCF_934424575.1, s__Blautia_A sp934424575, 95.0, 82.54, 0.191; GCA_934371915.1, s__Blautia_A sp934371915, 95.0, 82.42, 0.192; GCF_040096655.1, s__Blautia_A intestinihominis, 95.0, 82.37, 0.179; GCF_014297355.1, s__Blautia_A intestinalis, 95.0, 82.24, 0.196; GCA_900066355.1, s__Blautia_A sp900066355, 95.0, 82.03, 0.208; GCF_900120195.1, s__Blautia_A sp900120195, 95.0, 81.66, 0.196	87.01	11	0.99712	Genome has more than 10.0% of markers with multiple hits;Genome not assigned to closest species as it falls outside its pre-defined ANI radius
WILDCHIMP_A04_WC25_S25__DASTool_bins.metabat2.033	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp963609005	GCA_963609005.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp963609005	98.85	0.894	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_963654815.1, s__Prevotella sp963654815, 95.0, 89.55, 0.733; GCA_963607545.1, s__Prevotella sp963607545, 95.0, 90.0, 0.766; GCA_963602915.1, s__Prevotella sp963602915, 95.0, 89.26, 0.736	N/A	N/A	N/A	N/A
WILDCHIMP_A04_WC25_S25__DASTool_bins.metabat2.067	d__Bacteria;p__Bacillota;c__Bacilli;o__Acholeplasmatales;f__Anaeroplasmataceae;g__JAEELC01;s__JAEELC01 sp963605425	GCA_963605425.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Acholeplasmatales;f__Anaeroplasmataceae;g__JAEELC01;s__JAEELC01 sp963605425	96.0	0.865	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_963588755.1, s__JAEELC01 sp963588755, 95.0, 85.75, 0.343	N/A	N/A	N/A	N/A
WILDCHIMP_A04_WC25_S25__DASTool_bins.metabat2.072	d__Bacteria;p__Bacillota;c__Bacilli;o__RF39;f__UBA660;g__CAG-533;s__CAG-533 sp030525085	GCA_030525085.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__RF39;f__UBA660;g__CAG-533;s__CAG-533 sp030525085	97.79	0.911	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_934098515.1, s__CAG-533 sp934098515, 95.0, 86.21, 0.518; GCA_934090735.1, s__CAG-533 sp934090735, 95.0, 85.58, 0.451; GCA_900547775.1, s__CAG-533 sp000434495, 95.0, 86.62, 0.547	N/A	N/A	N/A	N/A
WILDCHIMP_A04_WC25_S25__DASTool_bins.metabat2.088_sub	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Avilachnospira;s__Avilachnospira sp963589455	GCA_963589455.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Avilachnospira;s__Avilachnospira sp963589455	98.42	0.924	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
WILDCHIMP_A04_WC25_S25__DASTool_bins.metabat2.092	d__Bacteria;p__Desulfobacterota_I;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio;s__Desulfovibrio sp963648625	GCA_963648625.1	95.0	d__Bacteria;p__Desulfobacterota_I;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio;s__Desulfovibrio sp963648625	97.34	0.85	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_030530085.1, s__Desulfovibrio sp030530085, 95.0, 88.02, 0.498; GCA_963661665.1, s__Desulfovibrio sp963661665, 95.0, 89.58, 0.594	N/A	N/A	N/A	N/A
WILDCHIMP_A04_WC25_S25__DASTool_bins.metabat2.097	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__QAMH01;g__W2P13-069;s__W2P13-069 sp963600995	GCA_963600995.1	95.0	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__QAMH01;g__W2P13-069;s__W2P13-069 sp963600995	97.0	0.857	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
WILDCHIMP_A04_WC25_S25__DASTool_bins.metabat2.131	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UMGS1766;s__UMGS1766 sp963660915	GCA_963660915.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UMGS1766;s__UMGS1766 sp963660915	98.56	0.87	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_963597355.1, s__UMGS1766 sp963597355, 95.0, 84.93, 0.548	N/A	N/A	N/A	N/A
WILDCHIMP_A04_WC25_S25__DASTool_bins.metabat2.134	d__Bacteria;p__Bacillota;c__Bacilli;o__RF39;f__UBA660;g__UBA6448;s__	N/A	N/A	N/A	N/A	N/A	GCA_934096985.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__RF39;f__UBA660;g__UBA6448;s__UBA6448 sp934096985	94.16	0.793	d__Bacteria;p__Bacillota;c__Bacilli;o__RF39;f__UBA660;g__UBA6448;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_934101645.1, s__UBA6448 sp934101645, 95.0, 93.05, 0.795; GCA_934096705.1, s__UBA6448 sp934096705, 95.0, 92.03, 0.87; GCA_029100545.1, s__UBA6448 sp029100545, 95.0, 80.53, 0.178	84.93	11	0.9979	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
WILDCHIMP_A04_WC25_S25__DASTool_bins.metabat2.146	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Muricoprocola;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Muricoprocola;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_934408725.1, s__Muricoprocola sp934408725, 95.0, 86.27, 0.477; GCF_025567005.1, s__Muricoprocola aceti, 95.0, 85.13, 0.407; GCF_014385005.1, s__Muricoprocola shaoxingensis, 95.0, 83.73, 0.269; GCA_934394985.1, s__Muricoprocola sp934394985, 95.0, 83.15, 0.291; GCA_900544685.1, s__Muricoprocola sp900544685, 95.0, 83.07, 0.305; GCA_934373455.1, s__Muricoprocola sp934373455, 95.0, 81.21, 0.174	89.83	11	0.9867	N/A
WILDCHIMP_A04_WC25_S25__DASTool_bins.metabat2.192	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__Agathobaculum;s__Agathobaculum sp963645185	GCA_963645185.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__Agathobaculum;s__Agathobaculum sp963645185	98.89	0.869	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_900544475.1, s__Agathobaculum sp900544475, 95.0, 88.71, 0.534; GCF_014288055.1, s__Agathobaculum hominis, 95.0, 91.41, 0.703	N/A	N/A	N/A	N/A
WILDCHIMP_A04_WC25_S25__DASTool_bins.metabat2.201	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Slackia;s__Slackia sp963635715	GCA_963635715.1	95.0	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Slackia;s__Slackia sp963635715	97.41	0.94	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
WILDCHIMP_A04_WC25_S25__DASTool_bins.metabat2.216	d__Bacteria;p__Bacillota;c__Bacilli;o__RF39;f__UBA660;g__Coprovivens;s__	N/A	N/A	N/A	N/A	N/A	GCA_016296185.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__RF39;f__UBA660;g__Coprovivens;s__Coprovivens sp016296185	82.42	0.248	d__Bacteria;p__Bacillota;c__Bacilli;o__RF39;f__UBA660;g__Coprovivens;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	84.75	11	0.98249	N/A
WILDCHIMP_A04_WC25_S25__DASTool_bins.metabat2.220	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Chordicoccus;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Chordicoccus;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	94.6	11	0.98098	N/A
WILDCHIMP_A04_WC25_S25__DASTool_bins.metabat2.274	d__Bacteria;p__Bacillota;c__Clostridia;o__Christensenellales;f__UBA1242;g__UBA6345;s__UBA6345 sp934746645	GCA_934746645.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Christensenellales;f__UBA1242;g__UBA6345;s__UBA6345 sp934746645	98.12	0.917	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
WILDCHIMP_A04_WC25_S25__DASTool_bins.metabat2.293_sub	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella sp963611895	GCA_963611895.1	95.0	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella sp963611895	96.11	0.78	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_963613305.1, s__Collinsella sp963613305, 95.0, 85.29, 0.261; GCA_963603165.1, s__Collinsella sp963603165, 95.0, 85.98, 0.308	N/A	N/A	N/A	N/A
WILDCHIMP_A04_WC25_S25__DASTool_bins.metabat2.315	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__Cryptobacteroides;s__Cryptobacteroides sp963633505	GCA_963633505.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__Cryptobacteroides;s__Cryptobacteroides sp963633505	98.36	0.901	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_963637465.1, s__Cryptobacteroides sp963637465, 95.0, 91.63, 0.797	N/A	N/A	N/A	N/A
WILDCHIMP_A04_WC25_S25__DASTool_bins.metabat2.324	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA11957;s__UBA11957 sp963603285	GCA_963603285.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA11957;s__UBA11957 sp963603285	99.26	0.952	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_934394565.1, s__UBA11957 sp934394565, 95.0, 86.56, 0.521	N/A	N/A	N/A	N/A
