,mantel_r,"p_value (Hommola test based on all data, includes monophyletic clades of MAGs)*","p_value (Hommola test based on subsampled data, includes one MAG per host species)**","p_value (PACo test based on subsampled data, includes one MAG per host species)**",symbiont_tips_count (number of MAGs  in clade),host_tips_count (number of host species with MAGs represented in clade),host_tip_span (total number of host species spanned by host clade),symbiont_subtree,host_subtree,host_clade_depth,symbiont_clade_depth,taxonomic assignment of clade,duplicate_tip
116,0.881777614,0.004,0.09,0.119,7,4,5,"('ZellerG_2014__CCIS35100175ST_4_0__bin_46':0.0550094763,('HicksAL_2018__WDG_0145__bin_38':0.0535425466,((('H04_WC32_S32__DASTool_bins_metabat2_110':0.0035665057,'B05_WC34_S34__DASTool_bins_concoct_265':0.0033546059)100:0.0016829795,'C05_WC35_S35__DASTool_bins_metabat2_172':0.0089547367)100:0.0113482128,('B04_WC26_S26__DASTool_bins_metabat2_106':1.0008e-06,'A04_WC25_S25__DASTool_bins_concoct_124':1.0008e-06)100:0.0126758066)100:0.0374581325)100:0.0302901514)100:0.0410007446;","('Gorilla_gorilla':9.06309552,((('Pan_troglodytes_troglodytes':0.5,'Pan_troglodytes_schweinfurthii':0.5):2.82005943,'Pan_paniscus':2.82005943)40:3.83084557,'Homo_sapiens':6.650905)48:2.41219052)51:20.3784513;",18.62619104,0.14306071,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__UBA6382;s__,"H04_WC32_S32__DASTool_bins_metabat2_110,B04_WC26_S26__DASTool_bins_metabat2_106,A04_WC25_S25__DASTool_bins_concoct_124,HicksAL_2018__WDG_0145__bin_38,B05_WC34_S34__DASTool_bins_concoct_265,ZellerG_2014__CCIS35100175ST_4_0__bin_46,C05_WC35_S35__DASTool_bins_metabat2_172"
117,0.886971815,0.001,0.088,0.078,14,4,4,"((('H04_WC32_S32__DASTool_bins_metabat2_107':0.0024758693,((('F02_WC14_S14__DASTool_bins_metabat2_019':0.0020224842,'E02_WC13_S13__DASTool_bins_concoct_004_sub':0.0015678789)100:0.0010109523,(('E01_WC5_S5__DASTool_bins_metabat2_135':0.0012681147,'D04_WC28_S28__DASTool_bins_metabat2_180':0.001073663)99:0.0002501629,('WC6_49':0.0065643479,'WC5_WC5_089':0.0170116971)51:2.0851e-06)99:0.0004910692)100:0.0002558236,'D03_WC20_S20__DASTool_bins_concoct_282':0.0002629683)100:0.0036299283)100:0.0163341845,(('H03_WC24_S24__DASTool_bins_H03_WC24_S24__bin_38':0.0010044835,'F03_WC22_S22__DASTool_bins_metabat2_101':0.0028411728)100:0.0018931091,(('F04_WC30_S30__DASTool_bins_concoct_192':0.0010030322,'E04_WC29_S29__DASTool_bins_247':0.0008754289)100:0.0011300908,'C04_WC27_S27__DASTool_bins_concoct_091':0.0013939422)100:0.0007887207)100:0.0249099584)100:0.0471436306,'LeChatelierE_2013__MH0143__bin_26':0.0758639318)100:0.0145137423;","((('Pan_troglodytes_troglodytes':0.5,'Pan_troglodytes_schweinfurthii':0.5):2.82005943,'Pan_paniscus':2.82005943)40:3.83084557,'Homo_sapiens':6.650905)48:2.41219052;",13.80181,0.16073235,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__;g__;s__,"F04_WC30_S30__DASTool_bins_concoct_192,E04_WC29_S29__DASTool_bins_247,C04_WC27_S27__DASTool_bins_concoct_091,H04_WC32_S32__DASTool_bins_metabat2_107,D04_WC28_S28__DASTool_bins_metabat2_180,WC5_WC5_089,E02_WC13_S13__DASTool_bins_concoct_004_sub,WC6_49,D03_WC20_S20__DASTool_bins_concoct_282,LeChatelierE_2013__MH0143__bin_26,H03_WC24_S24__DASTool_bins_H03_WC24_S24__bin_38,F02_WC14_S14__DASTool_bins_metabat2_019,F03_WC22_S22__DASTool_bins_metabat2_101,E01_WC5_S5__DASTool_bins_metabat2_135"
120,0.891826636,0.001,0.072,0.091,25,4,4,"('BritoIL_2016__WL_20_ST__bin_39':0.0488365049,((((('H04_WC32_S32__DASTool_bins_concoct_052':0.0002218341,'G04_WC31_S31__DASTool_bins_concoct_104':0.000445657)100:0.0025804386,'A05_WC33_S33__DASTool_bins_concoct_143':0.0040322835)100:0.0018949958,('D05_WC36_S36__DASTool_bins_metabat2_016':0.0002289034,'C05_WC35_S35__DASTool_bins_concoct_301':0.0051220233)100:0.002600547)100:0.0058910379,((('E02_WC13_S13__DASTool_bins_concoct_182':0.0034795542,'B01_WC2_S2__DASTool_bins_concoct_158':0.004066683)100:0.0013949166,(((((('E01_WC5_S5__DASTool_bins_concoct_251':0.0002281135,'WC5_bin_105':1.0008e-06)100:0.0002792405,'WC17_156':0.0053569267)100:0.0008357574,(('D03_WC20_S20__DASTool_bins_concoct_183':1.0008e-06,'C03_WC19_S19__DASTool_bins_concoct_065':1.0008e-06)100:0.0016046004,'WC3_19':0.0192970463)30:0.0004010541)30:0.0006686182,('D02_WC12_S12__DASTool_bins_14_sub':0.0008155052,'WC16_61':0.0036223564)37:2.9399e-06)30:0.0004456058,'WC9_104':1.0008e-06)30:0.0005428134,'D04_WC28_S28__DASTool_bins_concoct_280':0.0004369165)38:0.0011814186)41:0.0015790071,'A01_WC1_S1__DASTool_bins_concoct_159':0.0018313723)100:0.0070780773)100:0.0148744984,((('F04_WC30_S30__DASTool_bins_metabat2_086':1.0008e-06,'E04_WC29_S29__DASTool_bins_118':0.0057936178)100:0.0034115055,'C04_WC27_S27__DASTool_bins_concoct_054':0.0004464694)100:0.0023713051,('F03_WC22_S22__DASTool_bins_metabat2_036':0.0146769487,('B04_WC26_S26__DASTool_bins_metabat2_101':1.0008e-06,'A04_WC25_S25__DASTool_bins_concoct_044':0.0004409031)100:0.003024589)100:0.0010831066)100:0.027839553)100:0.0479646456)79:0.0086663137;","((('Pan_troglodytes_troglodytes':0.5,'Pan_troglodytes_schweinfurthii':0.5):2.82005943,'Pan_paniscus':2.82005943)40:3.83084557,'Homo_sapiens':6.650905)48:2.41219052;",13.80181,0.14286929,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__RC9;s__,"G04_WC31_S31__DASTool_bins_concoct_104,C04_WC27_S27__DASTool_bins_concoct_054,D05_WC36_S36__DASTool_bins_metabat2_016,D04_WC28_S28__DASTool_bins_concoct_280,C05_WC35_S35__DASTool_bins_concoct_301,WC9_104,WC3_19,C03_WC19_S19__DASTool_bins_concoct_065,WC16_61,E04_WC29_S29__DASTool_bins_118,A05_WC33_S33__DASTool_bins_concoct_143,A01_WC1_S1__DASTool_bins_concoct_159,B01_WC2_S2__DASTool_bins_concoct_158,WC5_bin_105,H04_WC32_S32__DASTool_bins_concoct_052,A04_WC25_S25__DASTool_bins_concoct_044,WC17_156,B04_WC26_S26__DASTool_bins_metabat2_101,D03_WC20_S20__DASTool_bins_concoct_183,F03_WC22_S22__DASTool_bins_metabat2_036,E01_WC5_S5__DASTool_bins_concoct_251,BritoIL_2016__WL_20_ST__bin_39,D02_WC12_S12__DASTool_bins_14_sub,F04_WC30_S30__DASTool_bins_metabat2_086,E02_WC13_S13__DASTool_bins_concoct_182"
121,0.89651254,0.001,0.118,0.174,16,4,12,"(('TungJ_2015__F05__bin_12':0.0022405775,(('TungJ_2015__F24__bin_12':0.0092372502,'TungJ_2015__F20__bin_33':0.0072929879)100:0.0003802236,'TungJ_2015__F18__bin_28':2.5445e-06)100:0.0020310591)100:0.1626701357,(('AmatoKR_2018__qiita_sid_11212_11212_Ptr1__bin_19':0.0174135316,'D01_WC4_S4__DASTool_bins_concoct_242_sub':0.0145206396)100:0.0979923923,(((('F04_WC30_S30__DASTool_bins_concoct_067':0.0,'B04_WC26_S26__DASTool_bins_concoct_088':0.0):1.0008e-06,'C04_WC27_S27__DASTool_bins_concoct_278':1.0008e-06)100:0.0084312819,'F03_WC22_S22__DASTool_bins_concoct_256':0.0059152938)100:0.0502505289,((('E01_WC5_S5__DASTool_bins_maxbin2_145_sub':2.2736e-06,'WC6_bin_36':0.0077306999)100:0.0011168836,'WC8_bin_32_sub':0.0022360099)100:0.0076389014,(('D05_WC36_S36__DASTool_bins_metabat2_178':0.0009432983,'B05_WC34_S34__DASTool_bins_metabat2_169':0.0009704773)100:0.0009514002,'C05_WC35_S35__DASTool_bins_concoct_304':0.0005006434)100:0.0139225849)100:0.0403701018)100:0.0676094325)100:0.0898189029)100:0.0578745456;","((((('Papio_cynocephalus':2.41,('Papio_hamadryas':1.73232857,'Papio_anubis':1.73232857)30:0.67767143)29:2.67028789,'Theropithecus_gelada':5.08028789)27:8.66928294,'Cercopithecus_ascanius':13.74957083)35:5.67273395,('Piliocolobus_badius':12.8,'Colobus_guereza':12.8)43:6.62230478)42:10.01924203,('Gorilla_gorilla':9.06309552,((('Pan_troglodytes_troglodytes':0.5,'Pan_troglodytes_schweinfurthii':0.5):2.82005943,'Pan_paniscus':2.82005943)40:3.83084557,'Homo_sapiens':6.650905)48:2.41219052)51:20.3784513)47:13.70974953;",59.38309363,0.390429816,d__Bacteria;p__Firmicutes;c__Bacilli;o__RFN20;f__CAG-826;g__UBA3207;s__,"F04_WC30_S30__DASTool_bins_concoct_067,C04_WC27_S27__DASTool_bins_concoct_278,AmatoKR_2018__qiita_sid_11212_11212_Ptr1__bin_19,WC6_bin_36,E01_WC5_S5__DASTool_bins_maxbin2_145_sub,D01_WC4_S4__DASTool_bins_concoct_242_sub,WC8_bin_32_sub,B05_WC34_S34__DASTool_bins_metabat2_169,TungJ_2015__F24__bin_12,D05_WC36_S36__DASTool_bins_metabat2_178,TungJ_2015__F20__bin_33,TungJ_2015__F05__bin_12,C05_WC35_S35__DASTool_bins_concoct_304,TungJ_2015__F18__bin_28,B04_WC26_S26__DASTool_bins_concoct_088,F03_WC22_S22__DASTool_bins_concoct_256"
122,0.900806402,0.001,0.089,0.087,21,4,5,"(('HicksAL_2018__WDG_0018__bin_28':0.0017948405,('HicksAL_2018__WDG_0029__bin_11':0.0093560352,('HicksAL_2018__WDG_0033__bin_20':0.0014086468,'HicksAL_2018__WDG_0132__bin_1':0.0180090638)23:8.70516e-05)23:0.000276512)100:0.0432519702,((((('WC34_44':0.0071080018,'B05_WC34_S34__DASTool_bins_concoct_229':1.0008e-06)100:0.0012656326,'C05_WC35_S35__DASTool_bins_metabat2_201':0.013333915)99:0.0009624827,('H04_WC32_S32__DASTool_bins_concoct_096_sub':0.0014470209,'G04_WC31_S31__DASTool_bins_concoct_050':1.0008e-06)100:0.0018353701)100:0.0138369158,((('E02_WC13_S13__DASTool_bins_metabat2_138':0.0084674306,('E01_WC5_S5__DASTool_bins_metabat2_031':1.0008e-06,'WC5_WC5_016':0.0132008608)100:0.000224324)100:0.0007053622,('D03_WC20_S20__DASTool_bins_maxbin2_091':0.0159125191,'C03_WC19_S19__DASTool_bins_metabat2_140':0.0002304654)100:0.0004361975)92:0.0006619171,'D04_WC28_S28__DASTool_bins_concoct_137':0.000479169)100:0.0074725661)100:0.0197291272,(((('H03_WC24_S24__DASTool_bins_H03_WC24_S24__bin_39_sub':0.0066906242,'G03_WC23_S23__DASTool_bins_68':1.0008e-06)100:0.0017777145,('B04_WC26_S26__DASTool_bins_metabat2_299':1.0008e-06,'A04_WC25_S25__DASTool_bins_concoct_338':1.0008e-06)100:0.0006976504)100:0.0096891931,'F03_WC22_S22__DASTool_bins_concoct_251':0.0021003991)99:0.0061678035,'C04_WC27_S27__DASTool_bins_metabat2_142_sub':0.0029090885)100:0.0215831752)100:0.0273629371)100:0.2045396843;","('Gorilla_gorilla':9.06309552,((('Pan_troglodytes_troglodytes':0.5,'Pan_troglodytes_schweinfurthii':0.5):2.82005943,'Pan_paniscus':2.82005943)40:3.83084557,'Homo_sapiens':6.650905)48:2.41219052)51:20.3784513;",18.62619104,0.136849975,d__Bacteria;p__Fibrobacterota;c__Fibrobacteria;o__Fibrobacterales;f__Fibrobacteraceae;g__;s__,"H04_WC32_S32__DASTool_bins_concoct_096_sub,F03_WC22_S22__DASTool_bins_concoct_251,E02_WC13_S13__DASTool_bins_metabat2_138,HicksAL_2018__WDG_0029__bin_11,WC5_WC5_016,HicksAL_2018__WDG_0018__bin_28,G03_WC23_S23__DASTool_bins_68,G04_WC31_S31__DASTool_bins_concoct_050,C03_WC19_S19__DASTool_bins_metabat2_140,C05_WC35_S35__DASTool_bins_metabat2_201,HicksAL_2018__WDG_0132__bin_1,WC34_44,B04_WC26_S26__DASTool_bins_metabat2_299,B05_WC34_S34__DASTool_bins_concoct_229,E01_WC5_S5__DASTool_bins_metabat2_031,D03_WC20_S20__DASTool_bins_maxbin2_091,C04_WC27_S27__DASTool_bins_metabat2_142_sub,HicksAL_2018__WDG_0033__bin_20,A04_WC25_S25__DASTool_bins_concoct_338,D04_WC28_S28__DASTool_bins_concoct_137,H03_WC24_S24__DASTool_bins_H03_WC24_S24__bin_39_sub"
124,0.908616235,0.027,0.246,0.253,8,4,4,"('RampelliS_2015__H14__bin_60':0.0796671925,((((('H04_WC32_S32__DASTool_bins_metabat2_114':1.0008e-06,'G04_WC31_S31__DASTool_bins_maxbin2_109':0.0057798521)100:0.0011376609,'B05_WC34_S34__DASTool_bins_concoct_074_sub':0.0024008569)100:0.0012056004,('D05_WC36_S36__DASTool_bins_concoct_052_sub':1.0008e-06,'C05_WC35_S35__DASTool_bins_maxbin2_164':0.0007083578)100:0.0029906842)100:0.0042918701,'D04_WC28_S28__DASTool_bins_metabat2_012':0.0002358834)100:0.0055571076,'E01_WC5_S5__DASTool_bins_concoct_247':0.0025349133)100:0.0658727439)100:0.1205193266;","((('Pan_troglodytes_troglodytes':0.5,'Pan_troglodytes_schweinfurthii':0.5):2.82005943,'Pan_paniscus':2.82005943)40:3.83084557,'Homo_sapiens':6.650905)48:2.41219052;",13.80181,0.163512028,d__Bacteria;p__Other;c__Bradimonadia;o__Bradymonadales;f__UBA4248;g__;s__,"H04_WC32_S32__DASTool_bins_metabat2_114,RampelliS_2015__H14__bin_60,D05_WC36_S36__DASTool_bins_concoct_052_sub,E01_WC5_S5__DASTool_bins_concoct_247,B05_WC34_S34__DASTool_bins_concoct_074_sub,G04_WC31_S31__DASTool_bins_maxbin2_109,D04_WC28_S28__DASTool_bins_metabat2_012,C05_WC35_S35__DASTool_bins_maxbin2_164"
126,0.916155401,0.001,0.071,0.077,25,4,4,"('CosteaPI_2017__SID713A004_11_0_0__bin_47':0.0556277525,((((('H04_WC32_S32__DASTool_bins_concoct_138_sub':0.0010743283,'G04_WC31_S31__DASTool_bins_concoct_117_sub':0.0053038191)100:0.0009822727,('B05_WC34_S34__DASTool_bins_metabat2_020_sub':0.0010170651,'A05_WC33_S33__DASTool_bins_metabat2_029':0.0005334087)100:0.0005145766)100:0.0016676135,('D05_WC36_S36__DASTool_bins_metabat2_151':0.0002256986,'C05_WC35_S35__DASTool_bins_metabat2_274_sub':0.0050244551)100:0.0006761819)100:0.005513275,(((('F02_WC14_S14__DASTool_bins_metabat2_109':0.0015235405,('E02_WC13_S13__DASTool_bins_maxbin2_039_sub':0.0123155507,'WC5_bin_63':0.0061988111)99:0.0050308356)87:0.0002106395,(((('E01_WC5_S5__DASTool_bins_metabat2_014':1.0008e-06,'WC6_bin_21':0.05197503)87:0.0004509244,'D02_WC12_S12__DASTool_bins_D02_WC12_S12__bin_89':0.0111588997)87:0.0004329531,'A01_WC1_S1__DASTool_bins_metabat2_088':0.0008771165)79:0.0002202332,'D01_WC4_S4__DASTool_bins_metabat2_012':0.000433955)79:2.4914e-06)79:0.0006562745,'C03_WC19_S19__DASTool_bins_metabat2_053':0.0011123237)100:0.000581032,('B01_WC2_S2__DASTool_bins_concoct_069_sub':0.0007062098,'WC8_bin_120':0.0065997611)100:0.0006656468)100:0.0101830201)100:0.0238752656,((('F04_WC30_S30__DASTool_bins_metabat2_074':1.0008e-06,('E04_WC29_S29__DASTool_bins_E04_WC29_S29__bin_13':1.0008e-06,'WC29_bin_43':0.007388498)100:0.0002154831)100:0.0004689788,'C04_WC27_S27__DASTool_bins_metabat2_204':0.0006665665)100:0.0023190568,('F03_WC22_S22__DASTool_bins_metabat2_091_sub':0.0018052408,('B04_WC26_S26__DASTool_bins_metabat2_093':1.0008e-06,'A04_WC25_S25__DASTool_bins_metabat2_162':0.0035133523)100:0.0015086755)100:0.0005035189)100:0.0267405765)100:0.0382451094)100:0.1444694395;","((('Pan_troglodytes_troglodytes':0.5,'Pan_troglodytes_schweinfurthii':0.5):2.82005943,'Pan_paniscus':2.82005943)40:3.83084557,'Homo_sapiens':6.650905)48:2.41219052;",13.80181,0.182250086,d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Solobacterium;s__,"E01_WC5_S5__DASTool_bins_metabat2_014,WC8_bin_120,F03_WC22_S22__DASTool_bins_metabat2_091_sub,WC29_bin_43,H04_WC32_S32__DASTool_bins_concoct_138_sub,F04_WC30_S30__DASTool_bins_metabat2_074,WC6_bin_21,F02_WC14_S14__DASTool_bins_metabat2_109,WC5_bin_63,D05_WC36_S36__DASTool_bins_metabat2_151,C04_WC27_S27__DASTool_bins_metabat2_204,B04_WC26_S26__DASTool_bins_metabat2_093,E02_WC13_S13__DASTool_bins_maxbin2_039_sub,CosteaPI_2017__SID713A004_11_0_0__bin_47,C05_WC35_S35__DASTool_bins_metabat2_274_sub,B01_WC2_S2__DASTool_bins_concoct_069_sub,G04_WC31_S31__DASTool_bins_concoct_117_sub,B05_WC34_S34__DASTool_bins_metabat2_020_sub,A01_WC1_S1__DASTool_bins_metabat2_088,D01_WC4_S4__DASTool_bins_metabat2_012,A05_WC33_S33__DASTool_bins_metabat2_029,C03_WC19_S19__DASTool_bins_metabat2_053,E04_WC29_S29__DASTool_bins_E04_WC29_S29__bin_13,A04_WC25_S25__DASTool_bins_metabat2_162,D02_WC12_S12__DASTool_bins_D02_WC12_S12__bin_89"
127,0.923834295,0.001,0.085,0.079,27,4,4,"(('ZeeviD_2015__PNP_Main_124_megahit__bin_33':0.0090383364,'s02_bin_439_filtered':0.0132944622)100:0.0554222771,('BritoIL_2016__WL_20_ST__bin_39':0.0488365049,((((('H04_WC32_S32__DASTool_bins_concoct_052':0.0002218341,'G04_WC31_S31__DASTool_bins_concoct_104':0.000445657)100:0.0025804386,'A05_WC33_S33__DASTool_bins_concoct_143':0.0040322835)100:0.0018949958,('D05_WC36_S36__DASTool_bins_metabat2_016':0.0002289034,'C05_WC35_S35__DASTool_bins_concoct_301':0.0051220233)100:0.002600547)100:0.0058910379,((('E02_WC13_S13__DASTool_bins_concoct_182':0.0034795542,'B01_WC2_S2__DASTool_bins_concoct_158':0.004066683)100:0.0013949166,(((((('E01_WC5_S5__DASTool_bins_concoct_251':0.0002281135,'WC5_bin_105':1.0008e-06)100:0.0002792405,'WC17_156':0.0053569267)100:0.0008357574,(('D03_WC20_S20__DASTool_bins_concoct_183':1.0008e-06,'C03_WC19_S19__DASTool_bins_concoct_065':1.0008e-06)100:0.0016046004,'WC3_19':0.0192970463)30:0.0004010541)30:0.0006686182,('D02_WC12_S12__DASTool_bins_14_sub':0.0008155052,'WC16_61':0.0036223564)37:2.9399e-06)30:0.0004456058,'WC9_104':1.0008e-06)30:0.0005428134,'D04_WC28_S28__DASTool_bins_concoct_280':0.0004369165)38:0.0011814186)41:0.0015790071,'A01_WC1_S1__DASTool_bins_concoct_159':0.0018313723)100:0.0070780773)100:0.0148744984,((('F04_WC30_S30__DASTool_bins_metabat2_086':1.0008e-06,'E04_WC29_S29__DASTool_bins_118':0.0057936178)100:0.0034115055,'C04_WC27_S27__DASTool_bins_concoct_054':0.0004464694)100:0.0023713051,('F03_WC22_S22__DASTool_bins_metabat2_036':0.0146769487,('B04_WC26_S26__DASTool_bins_metabat2_101':1.0008e-06,'A04_WC25_S25__DASTool_bins_concoct_044':0.0004409031)100:0.003024589)100:0.0010831066)100:0.027839553)100:0.0479646456)79:0.0086663137)93:0.0094173382;","((('Pan_troglodytes_troglodytes':0.5,'Pan_troglodytes_schweinfurthii':0.5):2.82005943,'Pan_paniscus':2.82005943)40:3.83084557,'Homo_sapiens':6.650905)48:2.41219052;",13.80181,0.171415838,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__RC9;s__,"G04_WC31_S31__DASTool_bins_concoct_104,ZeeviD_2015__PNP_Main_124_megahit__bin_33,C04_WC27_S27__DASTool_bins_concoct_054,D05_WC36_S36__DASTool_bins_metabat2_016,D04_WC28_S28__DASTool_bins_concoct_280,C05_WC35_S35__DASTool_bins_concoct_301,WC9_104,WC3_19,C03_WC19_S19__DASTool_bins_concoct_065,WC16_61,E04_WC29_S29__DASTool_bins_118,A05_WC33_S33__DASTool_bins_concoct_143,A01_WC1_S1__DASTool_bins_concoct_159,s02_bin_439_filtered,B01_WC2_S2__DASTool_bins_concoct_158,WC5_bin_105,H04_WC32_S32__DASTool_bins_concoct_052,A04_WC25_S25__DASTool_bins_concoct_044,WC17_156,B04_WC26_S26__DASTool_bins_metabat2_101,D03_WC20_S20__DASTool_bins_concoct_183,F03_WC22_S22__DASTool_bins_metabat2_036,E01_WC5_S5__DASTool_bins_concoct_251,BritoIL_2016__WL_20_ST__bin_39,D02_WC12_S12__DASTool_bins_14_sub,F04_WC30_S30__DASTool_bins_metabat2_086,E02_WC13_S13__DASTool_bins_concoct_182"
128,0.927688337,0.014,0.187,0.167,8,4,12,"(('AmatoKR_2018__qiita_sid_11212_11212_JB27__bin_4':0.290594146,((('E01_WC5_S5__DASTool_bins_metabat2_045_sub':0.0007987191,(('D04_WC28_S28__DASTool_bins_metabat2_008_sub':0.0019330443,'D03_WC20_S20__DASTool_bins_metabat2_037':0.003175854)97:0.0010331194,'D01_WC4_S4__DASTool_bins_concoct_119_sub':0.0046703468)97:0.0006655437)97:0.0003370497,'WC5_103':0.000749286)97:0.0058091628,'WC6_63':0.0104237399)100:0.2151285398)100:0.0514079141,'AmatoKR_2018__qiita_sid_11212_11212_JB25__bin_9':0.2519310408)100:0.1696034394;","((((('Papio_cynocephalus':2.41,('Papio_hamadryas':1.73232857,'Papio_anubis':1.73232857)30:0.67767143)29:2.67028789,'Theropithecus_gelada':5.08028789)27:8.66928294,'Cercopithecus_ascanius':13.74957083)35:5.67273395,('Piliocolobus_badius':12.8,'Colobus_guereza':12.8)43:6.62230478)42:10.01924203,('Gorilla_gorilla':9.06309552,((('Pan_troglodytes_troglodytes':0.5,'Pan_troglodytes_schweinfurthii':0.5):2.82005943,'Pan_paniscus':2.82005943)40:3.83084557,'Homo_sapiens':6.650905)48:2.41219052)51:20.3784513)47:13.70974953;",59.38309363,0.593933101,d__Bacteria;p__Firmicutes;c__Bacilli;o__RFN20;f__CAG-826;g__;s__,"WC6_63,D04_WC28_S28__DASTool_bins_metabat2_008_sub,D03_WC20_S20__DASTool_bins_metabat2_037,AmatoKR_2018__qiita_sid_11212_11212_JB27__bin_4,D01_WC4_S4__DASTool_bins_concoct_119_sub,WC5_103,E01_WC5_S5__DASTool_bins_metabat2_045_sub"
133,0.948874781,0.001,0.086,0.088,11,4,4,"('BritoIL_2016__M1_24_ST__bin_93':0.0424705563,((('H04_WC32_S32__DASTool_bins_concoct_112':0.0011087038,'B05_WC34_S34__DASTool_bins_concoct_070':0.0108414076)55:0.0046229121,(('E01_WC5_S5__DASTool_bins_metabat2_230':0.000699525,'C03_WC19_S19__DASTool_bins_concoct_213':0.0013122669)99:1.0007e-06,(('D03_WC20_S20__DASTool_bins_concoct_052':0.0005158032,'WC16_19_sub':0.0104078946)100:0.0006752767,'WC3_131':0.0027265374)92:1.0007e-06)100:0.0068991584)55:0.0063270749,(('F04_WC30_S30__DASTool_bins_concoct_312':0.0005977743,'E04_WC29_S29__DASTool_bins_239':0.001218812)82:2.163e-06,'F03_WC22_S22__DASTool_bins_metabat2_234':0.0185981219)55:0.0142998537)100:0.0272383333)100:0.0665060771;","((('Pan_troglodytes_troglodytes':0.5,'Pan_troglodytes_schweinfurthii':0.5):2.82005943,'Pan_paniscus':2.82005943)40:3.83084557,'Homo_sapiens':6.650905)48:2.41219052;",13.80181,0.102606865,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Duodenibacillus;s__,"F03_WC22_S22__DASTool_bins_metabat2_234,WC3_131,D03_WC20_S20__DASTool_bins_concoct_052,BritoIL_2016__M1_24_ST__bin_93,C03_WC19_S19__DASTool_bins_concoct_213,E01_WC5_S5__DASTool_bins_metabat2_230,F04_WC30_S30__DASTool_bins_concoct_312,E04_WC29_S29__DASTool_bins_239,B05_WC34_S34__DASTool_bins_concoct_070,WC16_19_sub,H04_WC32_S32__DASTool_bins_concoct_112"
135,0.958535624,0.001,0.198,0.254,19,4,4,"(((('FengQ_2015__SID531361__bin_38':0.0063292056,'RampelliS_2015__H10__bin_62':0.0043363778)100:0.0023700676,'Obregon_TitoAJ_2015__HCO70__bin_8':0.0101078705)100:0.002712413,('BritoIL_2016__W3_22_ST__bin_91':0.0023669378,'BritoIL_2016__M2_46_ST__bin_65':0.0175599628)100:0.0022765919)100:0.0503980579,(('G04_WC31_S31__DASTool_bins_concoct_087':0.0095129805,'A05_WC33_S33__DASTool_bins_concoct_190':0.0017896808)100:0.0042902698,((((((('E02_WC13_S13__DASTool_bins_concoct_218_sub':0.0023219295,'WC16_73':0.0064348421)100:0.0090040971,'B01_WC2_S2__DASTool_bins_metabat2_031':0.0008047783)85:0.0003553811,'D02_WC12_S12__DASTool_bins_146':0.0010963831)85:0.0008719931,'WC17_116':0.0125722261)80:0.0002184252,(('E01_WC5_S5__DASTool_bins_concoct_104_sub':0.0010107495,'D04_WC28_S28__DASTool_bins_concoct_043':0.002753035)85:0.0005185069,('D03_WC20_S20__DASTool_bins_concoct_074':1.0008e-06,'C03_WC19_S19__DASTool_bins_concoct_115':0.0002192544)100:0.0006609674)73:0.0002214289)47:0.0006551503,'A01_WC1_S1__DASTool_bins_metabat2_057':0.0006652167)47:0.0002314529,('D01_WC4_S4__DASTool_bins_metabat2_183':0.0005621206,'WC3_135':0.0051073201)83:1.0007e-06)100:0.0049231373)100:0.0499696044)100:0.0199624789;","((('Pan_troglodytes_troglodytes':0.5,'Pan_troglodytes_schweinfurthii':0.5):2.82005943,'Pan_paniscus':2.82005943)40:3.83084557,'Homo_sapiens':6.650905)48:2.41219052;",13.80181,0.142898696,d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales;f__Dialisteraceae;g__Dialister;s__,"BritoIL_2016__W3_22_ST__bin_91,D04_WC28_S28__DASTool_bins_concoct_043,A05_WC33_S33__DASTool_bins_concoct_190,D03_WC20_S20__DASTool_bins_concoct_074,WC17_116,D01_WC4_S4__DASTool_bins_metabat2_183,B01_WC2_S2__DASTool_bins_metabat2_031,E02_WC13_S13__DASTool_bins_concoct_218_sub,RampelliS_2015__H10__bin_62,E01_WC5_S5__DASTool_bins_concoct_104_sub,A01_WC1_S1__DASTool_bins_metabat2_057,FengQ_2015__SID531361__bin_38,Obregon_TitoAJ_2015__HCO70__bin_8,BritoIL_2016__M2_46_ST__bin_65,WC16_73,D02_WC12_S12__DASTool_bins_146,C03_WC19_S19__DASTool_bins_concoct_115,WC3_135,G04_WC31_S31__DASTool_bins_concoct_087"
